Código;NOMBRE;"Agua
%";"Kcal.
Energía";"g
Proteina";"g
Grasa Total";"g
Carbo-hidratos";"g
Fibra Diet.
total";"g
Ceniza";"mg
Calcio";"mg
Fosforo";"mg
Hierro";"mg
Tiamina";"mg
Riboflavina";"mg
Niacina";"mg
Vit. C";"mcg
Vit. A Equiv.
Retinol";"g
Ác. grasos
mono-insat.";"g
Ác. grasos
poli-insat.";"g
Ác. Grasos
saturados";"mg
Colesterol";"mg
Potasio";"mg
Sodio";"mg
Zinc";"mg
Magnesio";"mg
Vit. B6";"mcg
Vit. B12";"mcg
Ac. Fólico";"mcg
Folato
Equiv. FD";"%
Fracción
Comestible"
11151;REPOLLO/COL COMUN, COCIDO S/SAL, ESCURRIDO;93.60;22;1.02;0.43;4.46;1.90;0.49;31;15;0.17;0.06;0.05;0.28;20;7;0.03;0.20;0.05;0;97;8;0.09;8;0.11;0.00;0;20;1.00
11150;REPOLLO/COL COMUN, CRUDO;92.52;24;1.21;0.18;5.37;2.30;0.72;47;23;0.56;0.05;0.03;0.30;51;6;0.01;0.09;0.02;0;246;18;0.18;15;0.09;0.00;0;57;0.80
11176;REPOLLO/COL MORADA COCIDA S/SAL, ESCURRIDA;90.84;29;1.51;0.09;6.94;2.60;0.62;42;33;0.66;0.07;0.06;0.38;11;2;0.01;0.09;0.03;0;262;8;0.25;17;0.22;0.00;0;24;1.00
11175;REPOLLO/COL MORADA CRUDA;90.39;31;1.43;0.16;7.37;2.10;0.64;45;30;0.80;0.06;0.07;0.42;57;56;0.02;0.13;0.03;0;243;27;0.22;16;0.21;0.00;0;18;0.80
21063;REVOLCADO O CHANFAINA(GUATEMALA Y EL SALVADOR);73.70;139;11.50;7.90;4.70;;2.20;227;202;3.10;0.10;0.70;4.14;4;;;;;;;;;;;;;;1.00
18031;ROLLOS DULCES, C/CANELA;24.80;372;6.20;16.40;50.90;2.40;1.70;72;76;1.60;0.32;0.26;2.38;2;62;4.80;7.47;3.08;66;111;383;0.59;17;0.11;0.14;48;106;1.00
18032;ROLLOS DULCES, C/QUESO;29.40;360;7.10;18.30;43.70;1.20;1.40;118;98;0.76;0.15;0.13;0.83;0;;9.06;2.03;6.06;76;137;357;0.63;19;0.07;0.30;12;51;1.00
22020;ROMERO, FRESCO;67.77;131;3.31;5.86;20.70;14.10;2.35;317;66;6.65;0.04;0.15;0.91;22;146;1.16;0.90;2.84;0;668;26;0.93;91;0.34;0.00;0;109;0.65
17055;ROMPOPO;74.37;135;3.81;7.48;13.54;0.00;0.80;130;109;0.20;0.03;0.19;0.10;2;45;2.23;0.34;4.44;59;165;54;0.46;19;0.05;0.45;0;1;1.00
14045;ROSQUILLAS DE MAÍZ;24.20;321;13.50;10.40;48.80;;3.10;401;498;4.00;0.18;0.44;1.21;;;;;;;;;;;;;;;1.00
14046;ROSQUILLAS DE TRIGO;34.40;289;9.40;7.00;46.80;;2.40;214;225;2.00;0.14;0.30;0.88;1;;;;;;;;;;;;;;1.00
11152;RUIBARBO, TALLOS;94.00;18;0.70;0.20;4.10;;1.00;62;16;0.30;0.02;0.02;0.20;11;;;;;;;;;;;;;;0.83
21076;SABOR BARBACOATOSTADITAS/MAÍZ,SNACKS,;1.20;523;7.00;32.70;56.20;5.20;2.80;131;207;1.54;0.08;0.21;1.64;2;31;9.48;16.17;4.46;0;236;763;1.06;77;0.23;0.00;0;39;1.00
21077;SABOR NACHOSTOSTADITAS/MAÍZ,SNACKS,;1.90;536;6.50;31.70;57.30;1.00;2.60;36;76;1.27;0.21;0.12;1.41;0;24;2.14;0.84;26.79;5;123;952;0.48;25;0.12;0.00;0;5;1.00
21075;SABOR QUESOTOSTADITAS/MAÍZ,SNACKS,;1.50;558;5.76;35.76;54.10;2.20;2.89;58;108;1.10;0.16;0.20;5.74;0;38;10.44;18.65;5.51;4;197;896;0.60;20;0.06;0.48;86;180;1.00
11153;SAGU DE SAN VICENTE, RAÍZ;57.20;157;2.40;0.10;39.00;;1.30;20;24;3.20;0.08;0.03;0.70;9;;;;;;;;;;;;;;0.80
22021;SAL DE MESA;0.20;0;0.00;0.00;0.00;0.00;99.80;24;0;0.33;0.00;0.00;0.00;0;0;0.00;0.00;0.00;0;8;38758;0.10;1;0.00;0.00;0;0;1.00
20015;SALSA ENVASADA,BARBACOA;80.90;75;1.80;1.80;12.80;1.20;2.70;19;20;0.90;0.03;0.02;0.90;7;1;0.77;0.68;0.27;0;174;815;0.20;18;0.08;0.00;0;4;1.00
20022;SALSA ENVASADA,DE SOYA;66.00;60;10.51;0.10;5.57;0.80;17.82;20;130;2.38;0.06;0.15;3.95;0;0;0.02;0.04;0.01;0;212;5586;0.43;40;0.20;0.00;0;18;1.00
20016;SALSA ENVASADA,INGLESA;78.54;67;0.00;0.00;19.46;0.00;2.00;107;60;5.30;0.07;0.13;0.70;13;5;0.00;0.00;0.00;0;800;980;0.19;13;0.00;0.00;0;8;1.00
20075;SALSA ENVASADA,PARA PESCADO;71.07;35;5.06;0.01;3.64;0.00;20.22;43;7;0.78;0.01;0.06;2.31;1;4;0.00;0.00;0.00;0;288;7720;0.20;175;0.40;0.48;0;51;1.00
20017;SALSA ENVASADA,PICANTE;89.98;11;0.51;0.37;1.75;0.30;7.39;8;11;0.48;0.04;0.08;0.25;75;8;0.03;0.20;0.05;0;144;2643;0.11;5;0.16;0.00;0;6;1.00
20018;SALSA ENVASADA,TABASCO;95.17;12;1.29;0.76;0.80;0.60;1.98;12;23;1.16;0.03;0.08;0.18;5;82;0.06;0.40;0.11;0;128;633;0.16;12;0.15;0.00;0;1;1.00
20071;SALSA ENVASADA,TOMATE, CATSUP;69.15;97;1.74;0.38;25.08;0.30;3.66;18;33;0.51;0.01;0.47;1.50;15;47;0.06;0.15;0.05;0;382;1114;0.26;19;0.15;0.00;0;10;1.00
20072;SALSA PROCESADA,SOFRITO;59.66;237;12.80;18.20;5.46;1.70;3.88;20;139;0.94;0.28;0.21;2.92;20;;;;;;401;1145;1.41;25;0.36;;0;43;1.00
20019;SALSA PROCESADA,TOMATE C/CEBOLLA;86.09;42;1.56;0.19;9.94;1.80;2.21;17;39;0.93;0.07;0.13;1.24;13;43;0.03;0.08;0.03;0;413;551;0.23;19;0.27;0.00;0;22;1.00
20020;SALSA PROCESADA,TOMATE C/HONGOS;87.97;35;1.45;0.13;8.43;1.50;2.02;13;32;0.89;0.07;0.11;1.26;12;48;0.01;0.05;0.02;0;380;452;0.21;19;0.13;0.00;0;9;1.00
20021;SALSA PROCESADA,TOMATE C/QUESO;83.43;59;2.13;1.93;10.24;2.20;2.27;37;54;0.87;0.08;0.12;1.21;10;49;0.38;0.82;0.63;3;356;543;0.36;19;0.02;;0;8;1.00
20074;SALSA PROCESADA,TOMATE PARA SPAGHETTI;76.80;105;1.70;3.90;16.00;3.10;1.90;;;;;;;10;;;;0.87;0;;430;;;;;;;1.00
20073;SALSA PROCESADA,TOMATE, ESTILO RANCHERO;88.28;41;0.94;0.74;8.77;1.40;1.27;13;38;0.76;0.07;0.12;1.10;13;41;0.10;0.34;0.13;0;398;546;0.28;21;0.19;0.00;0;14;1.00
11154;SALSIFI;77.00;82;3.30;0.20;18.60;3.30;0.90;60;75;0.70;0.08;0.22;0.50;8;0;;;;0;380;20;0.38;23;0.28;0.00;0;26;0.87
12134;SANDIA;91.45;30;0.61;0.15;7.55;0.40;0.25;7;11;0.24;0.03;0.02;0.18;8;28;0.04;0.05;0.02;0;112;1;0.10;10;0.05;0.00;0;3;0.52
12099;SANDILLITA/BILIMBI/MIMBRO;94.20;20;0.80;0.10;4.60;;0.30;3;11;1.00;0.01;0.03;0.30;16;;;;;;;;;;;;;;0.95
21069;SANDWICH O HAMBURGUESA, FILETE DE POLLO;47.31;283;13.25;16.18;21.26;;2.00;33;128;2.57;0.18;0.13;3.74;5;17;5.72;4.61;4.68;33;194;526;1.03;19;0.11;0.21;39;82;1.00
21070;SANDWICH O HAMBURGUESA, FILETE DE POLLO C/QUESO;46.01;277;12.90;17.00;18.24;;2.10;113;178;1.59;0.18;0.20;3.98;1;72;5.99;4.36;5.46;34;146;543;1.27;19;0.18;0.20;28;68;1.00
21067;SANDWICH O HAMBURGUESA, PESCADO, C/SALSA;47.35;273;10.72;14.41;25.96;;1.56;53;134;1.65;0.21;0.14;2.15;2;21;4.87;5.22;3.31;35;215;389;0.63;21;0.07;0.68;26;72;1.00
21068;SANDWICH O HAMBURGUESA, PESCADO, C/SALSA Y QUESO;45.18;286;11.26;15.63;26.03;;1.91;101;170;1.91;0.25;0.23;2.31;2;71;4.87;5.15;4.45;37;193;513;0.64;20;0.06;0.59;33;73;1.00
21064;SANDWICH, BISTEC DE RES;51.07;225;14.87;6.90;25.47;;1.70;45;146;2.53;0.20;0.18;3.58;3;10;2.62;1.64;1.87;36;257;391;2.22;24;0.18;0.77;27;63;1.00
21117;SANDWICH, HUEVO Y QUESO;56.30;233;10.69;13.30;17.76;;1.95;154;207;2.04;0.18;0.39;1.42;1;138;5.66;1.77;4.54;199;129;551;1.13;15;0.09;0.78;42;96;1.00
21065;SANDWICH, JAMÓN Y QUESO;50.80;241;14.17;10.60;22.84;;1.59;89;104;2.22;0.21;0.33;1.84;2;66;4.61;0.94;4.41;40;199;528;0.94;11;0.14;0.37;3;54;1.00
21066;SANDWICH, JAMÓN, QUESO Y HUEVO;51.15;243;13.46;11.40;21.64;;2.35;148;242;2.17;0.30;0.39;2.94;2;116;4.02;1.18;5.18;172;147;703;1.39;18;0.11;0.86;23;69;1.00
21118;SANDWICH, POLLO (MCPOLLO);44.97;289;10.17;16.21;26.86;0.80;1.78;87;142;1.65;0.21;0.20;3.96;1;;4.40;6.21;2.61;31;170;519;0.72;18;;;;;1.00
22022;SAZONADOR MOLIDO NO ESPECIFICADO;9.00;272;6.73;5.91;68.73;45.70;9.63;2132;140;37.88;0.37;;4.08;50;257;;;3.26;0;1051;24;4.30;377;1.81;0.00;;;1.00
22023;SAZONADOR, PARA POLLO;9.31;307;9.59;7.53;65.59;11.30;5.92;996;171;35.30;0.26;0.19;2.97;12;132;1.21;1.94;3.29;0;684;27;3.14;224;1.32;0.00;0;138;1.00
10017;SEMILLA DE ACHIOTE, GRANO;3.10;388;11.30;5.30;74.90;;5.40;11;13;4.70;0.45;0.16;1.97;0;;;;;;;;;;;;;;1.00
10018;SEMILLA DE ACHIOTE, PASTA;98.40;7;0.00;0.30;1.10;;0.20;7;10;0.30;0.00;0.05;0.31;0;;;;;;;;;;;;;;1.00
10014;SEMILLA DE AJONJOLÍ;4.69;573;17.73;49.67;23.45;11.80;4.45;975;629;14.55;0.79;0.25;4.51;0;0;18.76;21.77;6.96;0;468;11;7.75;351;0.79;0.00;0;97;1.00
10015;SEMILLA DE AYOTE, CRUDA;6.92;541;24.54;45.85;17.81;3.90;4.88;43;1174;14.97;0.21;0.32;1.75;2;19;14.26;20.90;8.67;0;807;18;7.46;535;0.22;0.00;0;58;0.74
10016;SEMILLA DE AYOTE, TOSTADA;7.10;522;32.97;42.13;13.43;3.90;4.37;43;1172;14.94;0.21;0.32;1.74;2;19;13.10;19.21;7.97;0;806;18;7.44;534;0.09;0.00;0;57;1.00
10019;SEMILLA DE CACAO, SECA;3.60;456;12.00;46.30;34.70;;3.40;106;537;3.60;0.17;0.14;1.70;3;0;19.00;1.00;27.00;0;830;4;;;;0.00;;;0.90
10020;SEMILLA DE CHAN;4.90;490;15.62;30.75;43.85;37.70;4.87;631;948;;;;;;;2.12;23.33;3.18;0;160;19;3.49;;;0.00;;;1.00
10025;SEMILLA DE MARAÑÓN, TOSTADA C/ACEITE C/SAL;2.34;581;16.84;47.77;30.16;3.30;2.89;43;531;6.05;0.36;0.22;1.74;0;0;25.92;8.55;8.48;0;632;308;5.35;273;0.32;0.00;0;25;1.00
10024;SEMILLA DE MARAÑÓN, TOSTADA C/ACEITE S/SAL;3.48;580;16.84;47.77;29.87;3.30;2.03;43;531;6.05;0.36;0.22;1.74;0;0;25.92;8.55;8.48;0;632;13;5.35;273;0.32;0.00;0;25;1.00
10023;SEMILLA DE MARAÑÓN, TOSTADA C/SAL;1.70;574;15.31;46.35;32.69;3.00;3.95;45;490;6.00;0.20;0.20;1.40;0;0;27.32;7.84;9.16;0;565;640;5.60;260;0.26;0.00;0;69;1.00
10022;SEMILLA DE MARAÑÓN, TOSTADA S/SAL;1.70;574;15.31;46.35;32.69;3.00;3.95;45;490;6.00;0.20;0.20;1.40;0;0;27.32;7.84;9.16;0;565;16;5.60;260;0.26;0.00;0;69;1.00
10021;SEMILLA DE NUEZ DE PAN, SECA;6.50;367;8.62;1.68;79.39;14.90;3.81;94;178;4.60;0.03;0.14;2.10;47;11;0.21;0.90;0.45;0;2011;53;1.91;115;0.69;0.00;0;113;1.00
10029;SEMILLA DE PISTACHO, TOSTADA C/SAL;2.03;568;21.35;45.97;26.78;10.30;3.87;110;485;4.20;0.84;0.16;1.42;2;13;24.22;13.90;5.55;0;1042;405;2.30;120;1.27;0.00;0;50;0.53
10027;SEMILLAS MIXTAS, TOSTADAS C/ACEITE C/SAL;2.03;617;16.76;56.33;21.41;9.00;3.47;108;464;3.21;0.50;0.22;5.06;1;0;31.69;13.30;8.73;0;581;419;5.08;235;0.24;0.00;0;83;
10026;SEMILLAS MIXTAS, TOSTADAS C/SAL;1.75;594;17.30;51.45;25.35;9.00;4.15;70;435;3.70;0.20;0.20;4.70;0;0;31.40;10.77;6.90;0;597;669;3.80;225;0.30;0.00;0;50;1.00
10028;SEMILLAS, MORRO O JÍCARO;3.40;530;30.20;39.70;22.90;;3.80;50;968;9.40;0.73;0.12;0.90;;;;;;;;;;;;;;;0.74
13072;SEMOLINA ENRIQUECIDA;12.67;360;12.68;1.05;72.83;3.90;0.77;17;136;4.36;0.81;0.57;5.99;0;0;0.12;0.43;0.15;0;186;1;1.05;47;0.10;0.00;111;261;1.00
13107;SEMOLINA NO ENRIQUECIDA;12.67;360;12.68;1.05;72.83;3.90;0.77;17;136;1.23;0.28;0.08;3.31;0;0;0.12;0.43;0.15;0;186;1;1.05;47;0.10;0.00;0;72;1.00
21078;SIMPLESTOSTADITAS/MAÍZ,SNACKS,;2.00;510;5.80;26.90;62.90;1.10;2.30;3;44;2.54;0.32;0.24;1.41;0;16;1.70;0.78;22.75;0;81;1022;0.21;11;0.04;0.00;0;3;1.00
12135;SONCOYA/SINCUYA/ANONA PURPURÉA;85.00;101;0.70;10.50;2.90;;0.90;19;22;1.00;0.05;0.07;0.80;28;;;;;;;;;;;;;;0.59
12136;SONZAPOTE/SUNZA;67.40;116;1.40;0.50;29.70;;1.00;11;29;1.70;0.02;0.01;1.50;11;;;;;;;;;;;;;;0.63
20023;SOPA CONDENSADA,ENLAT. CEBOLLA;86.35;46;3.06;1.42;6.68;0.70;2.49;22;9;0.55;0.03;0.02;0.49;1;3;0.61;0.53;0.21;0;56;860;0.50;2;0.04;0.00;0;12;1.00
20082;SOPA CONDENSADA,ENLAT. FRIJOL NEGRO;75.33;91;4.83;1.32;15.42;6.80;3.10;35;75;1.50;0.04;0.04;0.41;0;22;0.48;0.41;0.34;0;250;970;1.10;33;0.07;0.00;0;20;1.00
20024;SOPA CONDENSADA,ENLAT. FRIJOLES CON CERDO;70.17;129;5.88;4.42;16.97;5.90;2.57;60;98;1.53;0.06;0.03;0.42;1;34;1.62;1.36;1.14;2;300;709;0.77;33;0.03;0.03;0;24;1.00
20025;SOPA CONDENSADA,ENLAT. MINESTRONE;82.95;68;3.48;2.05;9.17;0.80;2.35;28;46;0.75;0.04;0.04;0.77;1;85;0.56;0.91;0.44;1;255;744;0.60;6;0.08;0.00;16;40;1.00
20084;SOPA CONDENSADA,ENLAT. POLLO C/ARROZ;88.40;49;2.00;1.60;6.80;0.60;1.30;11;46;0.20;0.04;0.04;1.73;27;49;0.65;0.30;0.50;6;169;338;0.24;5;0.05;0.09;23;44;1.00
20083;SOPA CONDENSADA,ENLAT. POLLO Y FIDEOS;86.90;51;2.60;1.50;6.90;0.60;2.10;11;38;0.60;0.06;0.05;1.20;0;;0.60;0.30;0.50;9;45;751;0.22;6;0.04;0.07;10;21;1.00
20026;SOPA CONDENSADA,ENLAT. RES Y FIDEOS;84.42;67;3.85;2.46;7.16;0.60;2.12;12;37;0.88;0.05;0.05;0.85;0;11;0.99;0.39;0.91;4;79;759;1.23;5;0.03;0.16;12;23;1.00
20027;SOPA CONDENSADA,ENLAT. TOMATE;82.50;60;1.61;0.56;13.41;1.20;1.91;13;29;1.11;0.04;0.06;1.03;13;20;0.34;0.36;0.27;0;229;551;0.25;14;0.09;0.00;0;0;1.00
20028;SOPA CONDENSADA,ENLAT. VEGETALES Y RES;83.69;63;4.45;1.51;8.11;1.60;2.25;13;32;0.89;0.03;0.04;0.82;2;155;0.64;0.09;0.68;4;138;631;1.23;5;0.06;0.25;0;8;1.00
20033;SOPA CONDENSADA,PREP. C/AGUA,CEBOLLA;93.06;24;1.56;0.72;3.39;0.40;1.27;11;5;0.28;0.01;0.01;0.25;1;0;0.31;0.27;0.11;0;28;437;0.25;1;0.02;0.00;0;6;1.00
20034;SOPA CONDENSADA,PREP. C/AGUA,FRIJOLES CON CERDO;84.16;68;3.12;2.35;9.01;3.40;1.36;32;52;0.81;0.04;0.01;0.22;1;18;0.86;0.72;0.60;1;159;376;0.41;18;0.02;0.02;0;13;1.00
20035;SOPA CONDENSADA,PREP. C/AGUA,MINESTRONE;91.33;34;1.77;1.04;4.66;0.40;1.19;14;23;0.38;0.02;0.02;0.39;1;49;0.29;0.46;0.23;1;130;378;0.31;3;0.04;0.00;8;21;1.00
20036;SOPA CONDENSADA,PREP. C/AGUA,RES Y FIDEOS;91.99;34;1.98;1.26;3.68;0.30;1.09;6;19;0.45;0.03;0.02;0.44;0;3;0.51;0.20;0.47;2;41;390;0.63;2;0.01;0.08;6;12;1.00
20037;SOPA CONDENSADA,PREP. C/AGUA,TOMATE;90.36;35;0.84;0.79;6.80;0.20;1.21;5;14;0.72;0.04;0.02;0.58;27;10;0.18;0.39;0.15;0;108;285;0.10;3;0.05;0.00;0;6;1.00
20038;SOPA CONDENSADA,PREP. C/AGUA,VEGETALES Y RES;91.61;32;2.29;0.78;4.17;0.20;1.16;7;17;0.46;0.01;0.02;0.42;1;39;0.33;0.05;0.35;2;71;324;0.63;2;0.03;0.13;0;4;1.00
20029;SOPA CREMA CONDENSADA,ENLAT. CEBOLLA;81.00;88;2.20;4.20;10.40;0.40;2.20;27;30;0.50;0.04;0.06;0.40;1;28;1.67;1.16;1.17;12;98;760;0.12;5;0.02;0.04;0;6;1.00
20030;SOPA CREMA CONDENSADA,ENLAT. ESPARRAGOS;84.05;69;1.82;3.26;8.52;0.40;2.35;23;31;0.64;0.04;0.06;0.62;2;26;0.75;1.46;0.82;4;138;782;0.70;3;0.01;0.04;0;19;1.00
20031;SOPA CREMA CONDENSADA,ENLAT. HONGOS;83.85;85;1.61;5.89;6.72;0.00;1.93;12;26;1.11;0.04;0.05;0.42;0;8;1.11;1.43;1.38;0;62;645;0.20;4;0.00;0.00;0;2;1.00
20085;SOPA CREMA CONDENSADA,ENLAT. PAPA;85.39;59;1.39;1.88;9.14;0.40;2.21;16;37;0.38;0.03;0.03;0.43;0;19;0.44;0.33;0.97;5;109;797;0.50;1;0.03;0.04;0;2;1.00
20032;SOPA CREMA CONDENSADA,ENLAT. POLLO;82.75;89;2.38;5.77;7.16;0.00;1.95;14;31;1.06;0.01;0.05;0.39;0;43;2.05;1.05;1.60;8;49;655;0.29;4;0.00;0.00;0;2;1.00
20039;SOPA CREMA CONDENSADA,PREP. C/AGUA,CEBOLLA;90.50;44;1.13;2.16;5.20;0.40;1.10;14;15;0.26;0.02;0.03;0.21;1;6;0.86;0.60;0.60;6;49;380;0.06;2;0.01;0.02;0;3;1.00
20040;SOPA CREMA CONDENSADA,PREP. C/AGUA,ESPARRAGOS;91.80;35;0.94;1.68;4.38;0.20;1.21;12;16;0.33;0.02;0.03;0.32;1;15;0.39;0.76;0.43;2;71;402;0.36;2;0.00;0.02;0;9;1.00
20041;SOPA CREMA CONDENSADA,PREP. C/AGUA,HONGOS;90.33;53;0.95;3.68;3.81;0.20;1.16;19;20;0.21;0.02;0.04;0.30;0;6;0.70;1.73;1.00;1;41;361;0.24;2;0.01;0.02;0;2;1.00
20042;SOPA CREMA CONDENSADA,PREP. C/AGUA,POLLO;90.62;48;1.41;3.02;3.80;0.10;1.17;14;15;0.25;0.01;0.03;0.34;0;67;1.34;0.61;0.85;4;36;404;0.26;1;0.01;0.04;0;1;1.00
20053;SOPA CREMA DESHIDRATADA,ESPARRAGOS;4.80;366;13.75;10.80;55.75;2.40;14.90;137;185;3.80;0.20;0.30;3.00;5;503;4.64;4.06;1.61;1;824;4980;4.20;18;0.05;0.20;0;46;1.00
20054;SOPA CREMA DESHIDRATADA,POLLO;3.75;436;7.25;21.68;54.34;1.80;12.98;310;390;1.40;0.40;0.83;11.00;2;495;4.73;1.65;13.78;12;876;4820;6.00;24;0.22;1.00;0;22;1.00
20066;SOPA CREMA DESHIDRATADA,PREP. C/AGUA, ESPARRAGOS;93.90;23;0.88;0.69;3.57;;0.96;9;12;0.20;0.02;0.02;0.20;0;5;0.30;0.26;0.02;0;53;319;0.27;1;0.00;0.01;0;3;1.00
20067;SOPA CREMA DESHIDRATADA,PREP. C/AGUA, POLLO;90.94;41;0.68;2.04;5.11;0.10;1.22;29;37;0.10;0.04;0.08;1.00;0;8;0.45;0.16;1.30;1;82;454;0.60;2;0.02;0.10;0;2;1.00
20068;SOPA CREMA DESHIDRATADA,PREP. C/AGUA, VEGETALES;91.18;41;0.73;2.19;4.73;0.20;1.17;12;21;0.20;0.47;0.04;0.20;2;0;0.98;0.57;0.55;0;37;450;0.10;4;0.01;0.05;0;3;1.00
20055;SOPA CREMA DESHIDRATADA,VEGETALES;2.90;446;8.00;24.10;52.10;3.00;12.90;134;228;2.60;5.18;0.45;2.20;17;600;10.73;6.29;6.03;2;408;4957;1.60;48;0.10;0.50;0;30;1.00
20069;SOPA DE FIDEO RAMEN, PREPARADA;83.26;91;2.60;3.79;13.52;0.90;;8;31;0.78;0.07;0.04;0.63;0;;0.20;0.19;0.17;16;30;365;0.27;7;0.03;0.00;4;;1.00
20043;SOPA DESHIDRATADA, CEBOLLA;3.79;303;7.48;5.09;60.32;6.60;23.31;143;211;4.00;0.28;0.27;1.47;22;0;0.79;0.21;0.30;5;721;8031;1.12;60;0.58;0.00;0;0;1.00
20044;SOPA DESHIDRATADA, COLA DE BUEY;4.80;377;15.00;13.60;47.90;0.90;18.70;60;320;1.00;0.10;0.20;4.50;0;15;5.69;0.54;6.77;15;450;6460;0.00;50;0.20;1.00;0;30;1.00
20086;SOPA DESHIDRATADA, FIDEO RAMEN, CUALQUIER SABOR;4.70;453;9.30;17.10;65.50;2.40;3.40;16;108;4.27;0.66;0.44;5.40;0;1;6.40;2.61;7.63;0;120;1160;0.63;24;0.06;0.01;120;231;1.00
20088;SOPA DESHIDRATADA, FIDEO RAMEN, SABOR POLLO;4.26;437;10.66;15.55;63.57;2.40;5.96;27;118;3.92;0.56;0.25;3.97;0;0;6.15;1.39;7.09;;173;2071;0.61;22;0.09;0.31;85;176;1.00
20087;SOPA DESHIDRATADA, FIDEO RAMEN, SABOR RES;5.52;436;10.29;15.71;63.27;2.20;5.21;30;121;4.11;1.50;0.27;4.20;1;0;6.78;1.53;7.97;;185;2002;1.08;24;0.09;0.18;84;168;1.00
20045;SOPA DESHIDRATADA, HONGOS;3.06;441;10.18;22.34;51.18;3.50;13.20;306;354;2.50;1.29;0.51;2.30;5;9;10.32;7.15;3.78;2;915;4681;0.40;24;0.06;0.60;0;18;1.00
20046;SOPA DESHIDRATADA, MINESTRONE;4.80;358;20.00;7.80;53.60;3.60;13.80;168;276;4.50;0.30;0.20;4.60;5;66;3.32;0.45;3.68;8;1530;4620;3.60;36;0.50;0.00;80;215;1.00
20047;SOPA DESHIDRATADA, POLLO C/ARROZ;3.89;369;15.07;8.89;57.09;1.80;15.05;45;69;0.60;0.04;0.02;2.25;0;120;3.91;2.61;1.99;18;71;6048;0.80;0;0.10;0.50;0;3;1.00
20048;SOPA DESHIDRATADA, POLLO C/FIDEOS;4.94;377;15.42;6.51;62.32;3.20;10.80;55;195;2.44;0.57;0.38;4.88;0;8;2.26;1.39;1.95;74;306;3643;1.65;38;0.24;0.75;62;115;1.00
20049;SOPA DESHIDRATADA, POLLO C/VEGETALES;4.66;346;18.98;5.59;55.04;3.00;15.73;98;229;4.14;0.50;0.34;4.84;9;5;2.16;1.08;1.29;20;483;5698;1.47;151;0.63;0.70;0;28;1.00
20056;SOPA DESHIDRATADA, PREP. C/AGUA, CEBOLLA;96.29;11;0.45;0.23;2.06;0.40;0.97;5;12;0.06;0.01;0.02;0.20;0;0;0.13;0.03;0.05;0;26;345;0.02;2;0.00;0.00;0;1;1.00
20057;SOPA DESHIDRATADA, PREP. C/AGUA, COLA DE BUEY;92.96;28;1.11;1.01;3.54;0.20;1.38;4;24;0.10;0.01;0.01;0.30;0;0;0.42;0.04;0.50;1;33;478;0.00;4;0.01;0.10;0;4;1.00
20058;SOPA DESHIDRATADA, PREP. C/AGUA, HONGOS;91.66;38;0.88;1.92;4.40;0.30;1.14;26;30;0.20;0.11;0.04;0.20;0;6;0.89;0.61;0.32;0;79;403;0.03;2;0.01;0.10;0;2;1.00
20059;SOPA DESHIDRATADA, PREP. C/AGUA, MINESTRONE;91.67;31;1.75;0.68;4.69;;1.21;15;24;0.40;0.03;0.02;0.40;0;6;0.29;0.04;0.32;1;134;404;0.30;3;0.04;0.00;7;19;1.00
20060;SOPA DESHIDRATADA, PREP. C/AGUA, POLLO C/ARROZ;93.84;24;0.97;0.57;3.66;0.30;0.97;3;4;0.00;0.00;0.00;0.14;0;0;0.25;0.17;0.13;1;4;388;0.05;0;0.01;0.03;0;0;1.00
20061;SOPA DESHIDRATADA, PREP. C/AGUA, POLLO C/FIDEOS;94.16;23;0.84;0.55;3.67;0.10;0.78;2;12;0.20;0.08;0.03;0.43;0;1;0.20;0.16;0.12;4;13;229;0.08;3;0.01;0.02;6;11;1.00
20062;SOPA DESHIDRATADA, PREP. C/AGUA, POLLO C/VEGETALES;94.61;20;1.07;0.32;3.11;;0.89;6;13;0.23;0.03;0.02;0.27;1;0;0.12;0.06;0.07;1;27;322;0.08;9;0.04;0.04;0;1;1.00
20063;SOPA DESHIDRATADA, PREP. C/AGUA, RES C/FIDEO;95.32;16;0.88;0.32;2.40;0.30;1.09;2;16;0.13;0.05;0.02;0.28;0;0;0.14;0.07;0.10;1;32;415;0.04;4;0.01;0.00;5;10;1.00
20064;SOPA DESHIDRATADA, PREP. C/AGUA, TOMATE;89.70;39;0.93;0.90;7.32;0.20;1.16;20;25;0.16;0.02;0.02;0.29;2;17;0.34;0.09;0.41;0;111;356;0.08;5;0.04;0.03;0;3;1.00
20065;SOPA DESHIDRATADA, PREP. C/AGUA, VEGETALES Y RES;94.15;21;1.16;0.44;3.17;0.20;1.07;5;14;0.34;0.01;0.01;0.18;1;5;0.18;0.02;0.22;0;30;396;0.11;9;0.02;0.10;0;3;1.00
20050;SOPA DESHIDRATADA, RES Y FIDEOS;4.97;330;17.93;6.39;48.64;2.70;22.06;48;320;2.68;0.99;0.49;5.57;4;103;2.71;1.33;2.07;13;656;8408;0.81;76;0.28;0.02;109;199;1.00
20051;SOPA DESHIDRATADA, TOMATE;3.92;360;8.63;8.35;68.30;1.90;10.81;190;234;1.49;0.22;0.17;2.75;16;146;3.13;0.82;3.81;3;1039;3319;0.74;51;0.34;0.30;0;24;1.00
